"id,regdate,first_name,last_name,email,phone,address,city,state,zipcode"
21,11/28/08 22:44,John,Hoy,xhnebenz@jumpstartlab.com,5126732000,300 E 30th St Apt 304,Austin,TX,78705
281,12/18/08 16:50,John,Dayananda,kyllacamerak@jumpstartlab.com,502-741-0000,513 Emery Rd.,Louisville,KY,40206
441,12/19/08 18:50,John,Dowd,sellistarena@jumpstartlab.com,724-344-3000,203 E. Neshannock,New Wilmington,PA,16142
792,1/15/09 18:01,John,Buckner,hhrosl08@jumpstartlab.com,919-389-5000,101 Stadium Drive,Chapel Hill,NC,27514
922,1/19/09 19:40,John,Bishop,dpichard@jumpstartlab.com,(908) 528-0000,198 College Hill Road,Clinton,NY,13323
932,1/19/09 20:03,John,Cooray,emcallum@jumpstartlab.com,4402219000,46 East Green Street (Room 449),athens,OH,45701
1049,1/20/09 20:38,John,Huber,nileyd@jumpstartlab.com,301.689-7000,60 Pershing St,Cumberland,MD,21521
1206,1/20/09 23:32,John,Hall,rmates6601@jumpstartlab.com,508-752-1000,266 Olean St.,Worcester,MA,1602
1237,1/20/09 23:57,John,Klar,cyaison@jumpstartlab.com,6512141000,1315 Bowen Court,Madison,WI,53715
1278,1/21/09 1:22,John,Honani,jtmiller@jumpstartlab.com,(239)2468000,586 Asbury Crircle,Atlanta,GA,30322
1289,1/21/09 8:34,John,Mclaughlin,shrnisar@jumpstartlab.com,(914) 882-1000,701 moore ave box 1207,lewisburg,PA,17837
1400,1/21/09 15:44,John,White,jlex.vlasic@jumpstartlab.com,303 653 2000,601 First St,Ithaca,NY,14850
1505,1/21/09 17:18,John,Dolstad,evff.bessette@jumpstartlab.com,716-400-1000,8345 Clarnew Dr.,East Amherst,NY,14051
1610,1/21/09 19:23,John,Wikler,ick15@jumpstartlab.com,3365292000,510 Straffordshire Rd.,Winston Salem,NC,27104
1628,1/21/09 19:35,John,Venegas,renielgr@jumpstartlab.com,607.592.0000,881 Boswick,Ithaca,NY,14850
1660,1/21/09 20:08,John,Copenhaver,oteastes@jumpstartlab.com,631-357-6000,426 5th Street,East Northport,NY,11731
1763,1/21/09 20:51,John,Bigwood,vpm.odonnell@jumpstartlab.com,4042185000,roanoke college,salem,VA,24153
1766,1/21/09 20:52,John,Sharrow,gqix.haber@jumpstartlab.com,(+)27797440000,"86 7th Ave, Melville,","Johannesburg, South Africa",PW,0
1770,1/21/09 20:54,John,Ng,gcrinemea77@jumpstartlab.com,323-70-3000,1145 laurel st,santa cruz,CA,95060
1816,1/21/09 21:10,John,Eller,hxshifle@jumpstartlab.com,6092717000,1056 Frist Center,Princeton,NJ,8544
1841,1/21/09 21:21,John,White,obtrinah@jumpstartlab.com,615-337-5000,1714 Grand Ave. Apt. 124,Knoxville,TN,37916
1888,1/21/09 21:39,John,Cannon,fdmiller@jumpstartlab.com,919.357.5000,College St.,Boone,NC,28607
2023,1/21/09 22:27,John,Tough,je_bro1@jumpstartlab.com,541-430-3000,1250 NW 23rd Street Apt 8,Corvallis,OR,97330
2046,1/21/09 22:33,John,Kerner,jil6@jumpstartlab.com,585 201 1000,Frist,Princeton,NJ,8544
2109,1/21/09 22:46,John,Fink,stiorio@jumpstartlab.com,321 321 5000,16800 Point Lookout Rd.,St. Mary's City,MD,20686
2147,1/21/09 22:53,John,McMeekin,idnielsaintfelix@jumpstartlab.com,336-202-8000,1 university hts,asheville,NC,28804
2183,1/21/09 23:00,John,Jahne,qyieff@jumpstartlab.com,555-555-5000,16800 Point lookout rd,st marys city,MD,20686
2309,1/21/09 23:42,John,Regan,sfnghandong@jumpstartlab.com,248-535-4000,1815 Harvard Yard Mail Ctr,Cambridge,MA,2138
2345,1/21/09 23:48,JOhn,Freer,oynko1721@jumpstartlab.com,7579713000,510 E. 7th Ave.,Tallahassee,FL,32303
2363,1/21/09 23:52,John,Bicknell,lqhfksfklgKLJGRskj@jumpstartlab.com,7579713000,510 E. 7th Ave.,Tallahassee,FL,32303
2396,1/22/09 0:02,John,Jacobi,tyneskaroluk@jumpstartlab.com,703-625-4000,600 Ukrop Way,Williamsburg,VA,23185
2509,1/22/09 0:52,John,Judkins,mjjones7@jumpstartlab.com,617-290-8000,25 Cathy Road,Chelmsford,MA,1824
2553,1/22/09 15:23,John,Wasserman,flintessential_reflection@jumpstartlab.com,828-380-0000,2437 Paresky,Williamstown,MA,1267
2631,1/25/09 23:17,John,Begay,anhevalier@jumpstartlab.com,703 231 5000,2515 N. Winchester St,Arlington,VA,22213
2788,1/28/09 14:58,John,Rivera,wxma.jones@jumpstartlab.com,570-637-5000,400 East Second St.,Bloomsburg,PA,17815
2804,1/28/09 15:58,John,Gassam,vmug.bojack@jumpstartlab.com,484-325-4000,400 East Second St.,Bloomsburg,PA,17815
2850,1/29/09 12:23,John,Gans,kgtrano@jumpstartlab.com,919-538-3000,UNCW Station CB# 20360,Wilmington,NC,28407
2854,1/29/09 13:20,John,Kidder,gmk1@jumpstartlab.com,540-447-0000,"1203 Jamestown Road, Apt B4",Williamsburg,VA,23185
2872,1/29/09 14:41,John,Gallagher,llarunchia001@jumpstartlab.com,845-988-7000,71-72 162ND ST,Fresh Meadows,NY,11365
2899,1/29/09 15:23,John,Walker,uaazarus@jumpstartlab.com,973 270 6000,203 south willard st,bulington,VT,5401
3030,1/30/09 11:21,John,Westwood,ngelacolwell@jumpstartlab.com,617-365-0000,3301 n charles st.,Baltimore,MD,21218
3035,1/30/09 11:29,John,Asher,xlm2@jumpstartlab.com,2164020000,"328 Houston Hall, Tufts University",Medford,MA,2155
3084,1/30/09 12:34,John,Desanctis,vngallag@jumpstartlab.com,302-858-7000,1501 Lakeside Dr,Lynchburg,VA,24501
3189,1/30/09 15:04,John,Loftis,jninr5467@jumpstartlab.com,336-202-8000,1 university hts,asheville,NC,28804
3275,1/30/09 16:50,John,MacDonald,ejeliaT@jumpstartlab.com,865 585 1000,512 E Watauga Ave,JOhnson City,TN,37604
3500,1/31/09 14:30,John,Raiho,gpn@jumpstartlab.com,718-305-4000,272 Danforth St.,Portland,ME,4102
3537,1/31/09 15:24,John,Tuck,tbolkart@jumpstartlab.com,718-305-4000,7911 Mayflower Hill,Waterville,ME,4901
3553,1/31/09 15:35,John,Popovitch,clorzana@jumpstartlab.com,716-392-7000,1112 Harvard Yard Mail Center,Cambridge,MA,2138
3758,1/31/09 19:05,John,Catsos,vqlochowr@jumpstartlab.com,2313574000,239 Oakhill,East Lansing,MI,48823
3831,1/31/09 20:41,John,Stork,pmilla10@jumpstartlab.com,7128983000,303 Welch Ave,Ames,IA,50014
3962,1/31/09 23:45,John,Abdulkarim,iwbaugh@jumpstartlab.com,215-743-4000,1434 Elbridge St,Philadelphia,PA,19149
4122,2/1/09 14:45,John,Dubose,leonia@jumpstartlab.com,718-305-4000,140 Stratford Ave,Pittsburgh,PA,15206
4159,2/1/09 15:44,John,Zeller,eyudartj@jumpstartlab.com,805-766-2000,"1608 Rhode Island Ave, NW",Washington,DC,20036
4243,2/1/09 17:12,John,Farshchi,kjerations@jumpstartlab.com,(304) 290-8000,8 1/2 Charleston,Morgantown,WV,26501
4280,2/1/09 17:47,John,Fox,lqn1@jumpstartlab.com,716.868.9000,"350 Student Union, University at Buffalo",Buffalo,NY,14260
4415,2/1/09 19:39,John,Alexander,ep.collier@jumpstartlab.com,512-826-7000,Academy,Kalamazoo,MI,49006
4447,2/1/09 19:58,John,Rosenkvist,qpancey@jumpstartlab.com,0,64654654,Wilmington,NC,28403
4464,2/1/09 20:07,John,Corkins,kjya.courtney@jumpstartlab.com,914-320-4000,Bates,Lewiston,ME,4240
4637,2/1/09 21:28,John,Kittner,vfvaruss_campbell@jumpstartlab.com,703-862-0000,CSU 3873 PO Box 8793,Williamsburg,VA,23185
4734,2/1/09 22:06,John,Dyment,lqeisler@jumpstartlab.com,606-862-4000,216 Johnson Addition,London,KY,40741
4921,2/1/09 23:30,John,McEachern,lqorej8@jumpstartlab.com,914-325-1000,"1 Rivermere, Apt. 1B",Bronxville,NY,10708
5058,2/2/09 0:28,John,Wells,slnielleariel@jumpstartlab.com,(585) 451-2000,2 Vineyard Hill,Fairport,NY,14450
5090,2/2/09 1:33,John,Dowley,bx14@jumpstartlab.com,5748505000,2219 Ward St,Berkeley,CA,94705
