id,regdate,first_name,last_name,email,phone,address,city,state,zipcode
1247,1/21/09 0:06,Alyssa,Abraham,durnetta@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,DC,20008
2985,1/29/09 22:01,Ivey,Albeck,bxll13@jumpstartlab.com,6035627000,"4425 Reno Road, NW",Washington,DC,20008
876,1/19/09 12:05,Juliette,Alvarez,luroberts05@jumpstartlab.com,973-332-3000,"2727 29th Street NW, Apt. 323",Washington,DC,20008
3137,1/30/09 14:16,Maria,Amster,ckongwer@jumpstartlab.com,xxxx000,155 Indian Avenue,Lawrence,DC,66046
1414,1/21/09 15:58,Alejandro,Anderson,sydy0314@jumpstartlab.com,914-441-7000,4400 Massachusetts Ave NW,Washington,DC,20016
3158,1/30/09 14:44,Megan,Arene-Morley,fhanchan@jumpstartlab.com,2022977000,37th and O Streets NW,Washington,DC,20057
2936,1/29/09 18:46,Wesley,Aroneanu,efraguza@jumpstartlab.com,908-672-3000,"2021 F St NW, Potomac #1006",Washington,DC,20052
1225,1/20/09 23:50,Lindsay,Aronoff,aslissanypirg@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,DC,20008
1213,1/20/09 23:38,Zack,Astrove,fkolfgan@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,DC,20008
1229,1/20/09 23:51,Jennifer,Avalos,deiaz@jumpstartlab.com,443-504-4000,3168 17th St NW,Washington,DC,20010
1459,1/21/09 16:36,Leah,Ayers,vjstevens_2010@jumpstartlab.com,301 6545000,"3825 Wisconsin Avenue, NW",Washington,DC,20016
866,1/19/09 11:43,Jenna,B,wdack.satin.feathers@jumpstartlab.com,973-902-1000,"2727 29th Street NW, Apt. 305",Washington,DC,20008
126,12/11/08 11:56,Katie,Baimas-George,svsullivan88@jumpstartlab.com,608-516-9000,1123 Harvard St. unit R,Washington,DC,20009
1232,1/20/09 23:52,Stephanie,Baird,omani.sheva@jumpstartlab.com,240 645 5000,"3000 Cathedral Ave, NW",Washington,DC,20008
1389,1/21/09 15:18,Jenny,Barrett,ym1106a@jumpstartlab.com,515-231-4000,4201 Massachusetts Ave NW,Washington,DC,20016
873,1/19/09 11:58,Erik,Beardsley,ngangrpl@jumpstartlab.com,201-786-3000,"2727 29th Street NW, Apt. 232",Washington,DC,20008
2072,1/21/09 22:39,Vanessa,Beckman,leerry.finkel@jumpstartlab.com,913.406.3000,"620 21st Street, NW, #201",Washington,DC,66209
